"Iterations","Rewards","Time","Steps"
"499","4.7","121","32"
"500","-5.5600000000000005","112","58"
"501","4.75","103","27"
"502","4.77","105","25"
"503","4.81","118","21"
"504","4.78","86","24"
"505","4.8","120","22"
"506","4.75","114","27"
"507","4.569999999999999","143","45"
"508","4.72","190","30"
"509","-5.44","153","46"
"510","4.49","116","53"
"511","4.64","137","38"
"512","4.76","209","26"
"513","4.68","216","34"
"514","-5.23","150","25"
"515","-5.44","225","46"
"516","4.72","109","30"
"517","4.6","166","42"
"518","4.74","157","28"
"519","4.66","145","36"
"520","4.63","125","39"
"521","4.82","115","20"
"522","4.52","168","50"
"523","4.6","138","42"
"524","4.56","93","46"
"525","4.7","105","32"
"526","4.42","156","60"
"527","4.6","122","42"
"528","4.4399999999999995","101","58"
"529","4.85","129","17"
"530","4.609999999999999","132","41"
"531","4.109999999999999","131","91"
"532","4.83","118","19"
"533","0.8200000000000447","113","420"
"534","4.77","113","25"
"535","4.6499999999999995","115","37"
"536","4.68","87","34"
"537","4.319999999999999","105","70"
"538","4.79","102","23"
"539","4.79","103","23"
"540","4.79","125","23"
"541","4.6499999999999995","102","37"
"542","-5.86","134","88"
"543","4.569999999999999","116","45"
"544","4.55","104","47"
"545","4.369999999999999","101","65"
"546","4.78","126","24"
"547","-5.12","126","14"
"548","4.81","95","21"
"549","4.31","110","71"
"550","-5.24","134","26"
"551","4.78","117","24"
"552","-6.200000000000001","114","122"
"553","3.6999999999999993","118","132"
"554","4.56","109","46"
"555","4.67","114","35"
"556","4.79","122","23"
"557","4.81","118","21"
"558","4.319999999999999","126","70"
"559","4.8","102","22"
"560","4.77","103","25"
"561","-5.36","107","38"
"562","4.25","98","77"
"563","4.529999999999999","121","49"
"564","-5.19","100","21"
"565","-5.48","102","50"
"566","4.77","106","25"
"567","4.68","110","34"
"568","3.2099999999999986","135","181"
"569","-5.430000000000001","145","45"
"570","-5.390000000000001","123","41"
"571","4.39","107","63"
"572","4.79","132","23"
"573","4.75","112","27"
"574","4.7","112","32"
"575","4.609999999999999","129","41"
"576","4.83","119","19"
"577","4.82","130","20"
"578","4.8","121","22"
"579","4.46","116","56"
"580","4.76","110","26"
"581","4.74","126","28"
"582","4.74","112","28"
"583","4.74","123","28"
"584","4.78","114","24"
"585","4.6899999999999995","134","33"
"586","4.78","151","24"
"587","4.71","131","31"
"588","4.77","127","25"
"589","4.319999999999999","134","70"
"590","4.3","112","72"
"591","4.8","104","22"
"592","4.54","114","48"
"593","4.569999999999999","119","45"
"594","4.449999999999999","111","57"
"595","-5.19","141","21"
"596","4.119999999999999","142","90"
"597","3.729999999999999","141","129"
"598","4.51","118","51"
"599","4.83","154","19"
"600","-5.74","131","76"
"601","4.39","114","63"
"602","4.71","130","31"
"603","-5.890000000000001","139","91"
"604","4.79","104","23"
"605","4.7","133","32"
"606","4.119999999999999","109","90"
"607","4.72","134","30"
"608","4.56","145","46"
"609","-5.65","170","67"
"610","4.78","126","24"
"611","4.71","116","31"
"612","4.359999999999999","123","66"
"613","3.839999999999999","116","118"
"614","4.71","119","31"
"615","4.4799999999999995","120","54"
"616","-5.42","128","44"
"617","4.83","128","19"
"618","4.4399999999999995","114","58"
"619","4.02","120","100"
"620","-5.3","127","32"
"621","4.369999999999999","117","65"
"622","4.72","132","30"
"623","4.55","150","47"
"624","4.71","127","31"
"625","4.3","100","72"
"626","4.77","135","25"
"627","4.609999999999999","123","41"
"628","4.569999999999999","129","45"
"629","3.959999999999999","149","106"
"630","4.79","120","23"
"631","3.539999999999999","152","148"
"632","4.77","102","25"
"633","4.67","140","35"
"634","-5.5600000000000005","144","58"
"635","4.78","112","24"
"636","4.78","120","24"
"637","4.72","144","30"
"638","3.579999999999999","116","144"
"639","4.51","135","51"
"640","4.7299999999999995","118","29"
"641","4.7299999999999995","120","29"
"642","4.76","114","26"
"643","4.6499999999999995","120","37"
"644","4.82","121","20"
"645","4.7","143","32"
"646","4.79","155","23"
"647","-6.080000000000001","132","110"
"648","4.77","132","25"
"649","4.3999999999999995","117","62"
"650","4.7299999999999995","137","29"
"651","4.81","129","21"
"652","4.27","117","75"
"653","4.78","126","24"
"654","-6.1000000000000005","118","112"
"655","4.7","127","32"
"656","4.83","132","19"
"657","-5.11","130","13"
"658","4.449999999999999","136","57"
"659","-5.54","155","56"
"660","4.6899999999999995","139","33"
"661","4.67","166","35"
"662","4.68","126","34"
"663","4.66","150","36"
"664","-5.24","150","26"
"665","4.63","130","39"
"666","4.83","129","19"
"667","-5.25","141","27"
"668","-5.29","144","31"
"669","4.51","162","51"
"670","4.1499999999999995","189","87"
"671","4.8","151","22"
"672","4.58","116","44"
"673","4.22","152","80"
"674","-6.6400000000000015","121","166"
"675","4.77","134","25"
"676","4.529999999999999","144","49"
"677","4.76","149","26"
"678","3.339999999999999","167","168"
"679","4.67","135","35"
"680","-5.390000000000001","146","41"
"681","4.449999999999999","136","57"
"682","4.68","158","34"
"683","3.419999999999999","143","160"
"684","4.76","146","26"
"685","-5.98","132","100"
"686","4.7","140","32"
"687","4.81","144","21"
"688","4.43","151","59"
"689","4.39","142","63"
"690","-5.2","132","22"
"691","4.52","168","50"
"692","4.7299999999999995","140","29"
"693","4.76","136","26"
"694","4.52","121","50"
"695","4.74","141","28"
"696","4.26","141","76"
"697","-5.67","181","69"
"698","4.569999999999999","142","45"
"699","4.74","128","28"
"700","4.1899999999999995","157","83"
"701","4.71","149","31"
"702","4.43","162","59"
"703","4.81","135","21"
"704","-5.18","118","20"
"705","4.58","134","44"
"706","4.56","139","46"
"707","4.67","138","35"
"708","4.59","142","43"
"709","4.569999999999999","156","45"
"710","4.72","142","30"
"711","4.449999999999999","171","57"
"712","4.6899999999999995","137","33"
"713","4.66","144","36"
"714","-5.42","143","44"
"715","4.75","122","27"
"716","4.83","140","19"
"717","4.75","151","27"
"718","4.41","216","61"
"719","-5.390000000000001","157","41"
"720","4.67","147","35"
"721","-5.18","140","20"
"722","4.67","135","35"
"723","4.75","119","27"
"724","-5.49","162","51"
"725","4.7299999999999995","145","29"
"726","4.78","152","24"
"727","4.75","137","27"
"728","-5.65","146","67"
"729","-5.430000000000001","152","45"
"730","4.68","160","34"
"731","-5.3","170","32"
"732","4.6499999999999995","134","37"
"733","-5.42","151","44"
"734","-5.46","146","48"
"735","3.5599999999999987","147","146"
"736","1.7900000000000245","151","323"
